pair,i,side,price,atr,tp_dist,tp_frac,structure_quality,spike_risk_score,spike_bucket,move_potential,wall_ratio,overall_score,reason,mfe_frac,mae_frac,bars_held,main_correct,second_correct
ETHUSDT,3631,short,1882.13,0.33642857142854155,11.29278,0.006,0.0,0.2576,low,0.15,0.3798887430730246,-0.583,TIMEOUT,0.000962,0.001897,240,False,True
ETHUSDT,3637,short,1881.56,0.2657142857142552,11.28936,0.006,0.0,0.0753,low,0.15,0.32951380769149247,-0.5101,TIMEOUT,0.000659,0.0022,240,False,True
ETHUSDT,3667,long,1881.71,0.3114285714285643,11.29026,0.006,1.0,0.2783,low,0.15,0.09920054985446666,0.2087,TIMEOUT,0.00212,8.5e-05,240,False,False
ETHUSDT,3679,short,1882.54,0.4607142857143052,11.29524,0.006,0.0,0.0072,low,0.15,0.021247888491082004,-0.4829,TIMEOUT,0.000526,0.001679,240,False,True
ETHUSDT,3682,long,1883.14,0.5342857142857318,11.29884,0.006,1.0,0.3057,low,0.15,0.3372027570971839,0.1977,TIMEOUT,0.001359,0.000844,240,False,False
ETHUSDT,3694,long,1883.21,0.30071428571427206,11.29926,0.006,1.0,0.3215,low,0.15,0.3309951271145198,0.1914,TIMEOUT,0.001322,0.002129,240,False,False
ETHUSDT,3700,short,1883.08,0.20571428571427727,11.29848,0.006,0.0,0.0162,low,0.15,0.06903583490876408,-0.4865,TIMEOUT,0.002257,0.001391,240,False,True
ETHUSDT,3703,short,1883.0,0.15357142857140257,11.298,0.006,0.0,0.0217,low,0.15,0.06195786864932249,-0.4887,TIMEOUT,0.002215,0.001434,240,False,True
ETHUSDT,3706,long,1883.17,0.17928571428568116,11.29902,0.006,1.0,0.2789,low,0.15,0.3345422877382262,0.2084,TIMEOUT,0.001343,0.002305,240,False,False
ETHUSDT,3709,long,1883.46,0.18571428571424672,11.30076,0.006,1.0,0.5205,medium,0.15,0.3088287867364681,0.1118,TIMEOUT,0.001189,0.002458,240,False,False
ETHUSDT,3730,long,1884.43,0.32428571428569547,11.30658,0.006,1.0,0.4112,medium,0.15,0.22287906687963838,0.1555,TIMEOUT,0.000674,0.002972,240,False,False
ETHUSDT,3733,long,1884.66,0.28142857142854283,11.307960000000001,0.006,1.0,0.1658,low,0.15,0.20251221263605135,0.2537,TIMEOUT,0.000552,0.003093,240,False,False
ETHUSDT,3778,long,1884.5,0.20928571428570258,11.307,0.006,1.0,0.4619,medium,0.15,0.04245157866808333,0.1352,TIMEOUT,0.000637,0.003009,240,False,False
ETHUSDT,3796,short,1883.73,0.35214285714281296,11.302380000000001,0.006,1.0,0.1704,low,0.15,0.04777754773772989,0.2518,TIMEOUT,0.002601,0.000472,240,False,False
ETHUSDT,3811,short,1882.23,0.2714285714285682,11.29338,0.006,1.0,0.0123,low,0.15,0.16912562935100756,0.3151,TIMEOUT,0.001806,0.00127,240,False,False
ETHUSDT,3832,long,1882.23,0.11571428571429417,11.29338,0.006,0.4,0.2016,low,0.15,0.05312846995318576,-0.2406,TIMEOUT,0.00127,0.002008,240,False,True
ETHUSDT,3850,long,1883.21,0.19428571428571623,11.29926,0.006,1.0,0.0172,low,0.15,0.1566474264686344,0.3131,TIMEOUT,0.000749,0.002528,240,False,False
ETHUSDT,3874,long,1884.25,0.20214285714285193,11.3055,0.006,1.0,0.6266,medium,0.15,0.06457034186900341,0.0694,TIMEOUT,0.000106,0.003471,240,False,False
ETHUSDT,3877,short,1884.09,0.16499999999997986,11.30454,0.006,1.0,0.0202,low,0.15,0.07961403117684254,0.3119,TIMEOUT,0.003567,0.000191,240,False,False
ETHUSDT,3883,short,1883.45,0.12785714285710778,11.3007,0.006,1.0,0.0261,low,0.15,0.023007424318846698,0.3096,TIMEOUT,0.004173,0.000531,240,False,False
ETHUSDT,3889,short,1883.47,0.07928571428570715,11.30082,0.006,1.0,0.042,low,0.15,0.024776963087631936,0.3032,TIMEOUT,0.004184,0.00052,240,False,False
ETHUSDT,3892,short,1883.36,0.10428571428570065,11.30016,0.006,1.0,1.0,high,0.15,0.015044034774715172,-0.08,TIMEOUT,0.004386,0.000579,240,False,True
ETHUSDT,3895,long,1883.73,0.15142857142857988,11.302380000000001,0.006,1.0,1.0,high,0.15,0.11059617531882664,-0.08,TIMEOUT,0.000143,0.004581,240,False,True
ETHUSDT,3907,short,1883.66,0.20285714285718573,11.301960000000001,0.006,1.0,0.1643,low,0.15,0.04158570725785857,0.2543,TIMEOUT,0.004544,0.0,240,False,False
ETHUSDT,3910,short,1882.79,0.19571428571431884,11.29674,0.006,1.0,0.1533,low,0.15,0.10976618033167171,0.2587,TIMEOUT,0.004084,3.7e-05,240,False,False
ETHUSDT,3913,short,1882.67,0.23214285714288962,11.29602,0.006,1.0,0.3303,medium,0.15,0.09914996609426313,0.1879,TIMEOUT,0.004021,0.000101,240,False,False
ETHUSDT,3928,short,1880.45,0.3507142857142753,11.2827,0.006,1.0,0.4087,medium,0.15,0.01152206475401359,0.1565,TIMEOUT,0.002845,0.001282,240,False,False
ETHUSDT,3931,short,1880.48,0.43857142857141945,11.28288,0.006,1.0,0.9729,medium,0.15,0.014180776539330548,-0.0692,TIMEOUT,0.002861,0.001266,240,False,True
ETHUSDT,3955,long,1880.51,0.22999999999998572,11.28306,0.006,0.0,0.2754,low,0.15,0.20561797951973457,-0.5902,TIMEOUT,0.00125,0.002877,240,False,True
ETHUSDT,3958,long,1880.71,0.23285714285712597,11.28426,0.006,0.0,0.7157,medium,0.15,0.1878723106344493,-0.7663,TIMEOUT,0.001143,0.002983,240,False,True
ETHUSDT,3967,short,1879.89,0.2514285714285539,11.279340000000001,0.006,1.0,0.0133,low,0.15,0.09397712986754302,0.3147,TIMEOUT,0.002548,0.00158,240,False,False
ETHUSDT,3970,long,1880.3,0.2799999999999727,11.2818,0.006,0.7,0.4405,medium,0.15,0.013295750678091346,-0.0962,TIMEOUT,0.001361,0.002766,240,False,True
ETHUSDT,3973,long,1880.09,0.23428571428569608,11.28054,0.006,0.7,0.5122,medium,0.15,0.03191336584951849,-0.1249,TIMEOUT,0.001473,0.002654,240,False,True
