pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,k,ts_parsed,fold
ETHUSDT,2026-08-19 16:23:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,16.0,TREND,1.6,,
BTCUSDT,2026-08-19 16:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,28.0,TREND,1.6,,
ETHUSDT,2026-08-19 16:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,79.0,TREND,1.6,,
NEARUSDT,2026-08-19 16:58:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,19.0,TREND,1.6,,
SOLUSDT,2026-08-19 17:03:00+00:00,0.004600000000000001,0.006,TP,1.6,40.0,TREND,1.6,,
BTCUSDT,2026-08-19 17:08:00+00:00,0.004600000000000001,0.006,TP,1.6,21.0,TREND,1.6,,
BTCUSDT,2026-08-19 17:19:00+00:00,0.004600000000000001,0.006,TP,1.6,20.0,TREND,1.6,,
BTCUSDT,2026-08-19 17:19:00+00:00,0.004600000000000001,0.006,TP,1.6,16.0,TREND,1.6,,
BTCUSDT,2026-08-19 17:28:00+00:00,0.004600000000000001,0.006,TP,1.6,19.0,TREND,1.6,,
BTCUSDT,2026-08-19 17:30:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,10.0,TREND,1.6,,
NEARUSDT,2026-08-19 17:48:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,108.0,CHOP,1.6,,
SOLUSDT,2026-08-19 18:48:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,159.0,TREND,1.6,,
ETHUSDT,2026-08-19 19:13:00+00:00,0.004600000000000001,0.006,TP,1.6,25.0,TREND,1.6,,
BTCUSDT,2026-08-19 19:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,86.0,TREND,1.6,,
ETHUSDT,2026-08-19 20:07:00+00:00,0.004600000000000001,0.006,TP,1.6,242.0,TREND,1.6,,
XRPUSDT,2026-08-19 20:15:00+00:00,0.004600000000000001,0.006,TP,1.6,8.0,TREND,1.6,,
SOLUSDT,2026-08-19 20:50:00+00:00,0.0073632062052447775,0.008763206205244777,TP,1.6,313.0,TREND,1.6,,
ETHUSDT,2026-08-19 20:50:00+00:00,-0.0414,-0.04,MAE_KILL,1.6,202.0,TREND,1.6,,
NEARUSDT,2026-08-19 20:50:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,198.0,CHOP,1.6,,
SOLUSDT,2026-08-19 20:50:00+00:00,0.004600000000000001,0.006,TP,1.6,97.0,TREND,1.6,,
BTCUSDT,2026-08-19 20:50:00+00:00,0.004600000000000001,0.006,TP,1.6,35.0,CHOP,1.6,,
BTCUSDT,2026-08-19 20:51:00+00:00,0.008266705073485219,0.009666705073485219,TP,1.6,310.0,TREND,1.6,,
XRPUSDT,2026-08-19 20:54:00+00:00,0.004600000000000001,0.006,TP,1.6,3.0,CHOP,1.6,,
SOLUSDT,2026-08-19 21:04:00+00:00,-0.0414,-0.04,MAE_KILL,1.6,222.0,TREND,1.6,,
NEARUSDT,2026-08-19 21:04:00+00:00,0.004600000000000001,0.006,TP,1.6,8.0,CHOP,1.6,,
BTCUSDT,2026-08-19 21:06:00+00:00,0.004600000000000001,0.006,TP,1.6,12.0,CHOP,1.6,,
BTCUSDT,2026-08-19 21:06:00+00:00,0.004600000000000001,0.006,TP,1.6,7.0,CHOP,1.6,,
