pair,i,variant,sweep,dir,atr_frac,mfe,mae,ret30,ret60,ret240,t0.6_s1.0,t0.6_s1.5,t0.6_s2.0,t1.0_s1.0,t1.0_s1.5,t1.0_s2.0,t1.6_s1.0,t1.6_s1.5,t1.6_s2.0,ts,hyp
XRPUSDT,28415,E_mss,buy,1,0.0008911286605414302,0.0006453000645299353,0.024234602423460278,-0.005449200544920091,-0.00645300064530015,-0.02093640209364029,-0.00229112866054143,-0.002736692990812145,-0.0031822573210828604,-0.00229112866054143,-0.002736692990812145,-0.0031822573210828604,-0.00229112866054143,-0.002736692990812145,-0.0031822573210828604,2026-09-01 05:48:00+00:00,CONTINUATION
XRPUSDT,28415,A_sweeponly,buy,-1,0.0008911286605414302,0.024234602423460278,0.0006453000645299353,0.005449200544920091,0.00645300064530015,0.02093640209364029,-0.0008653228036751419,-0.0008653228036751419,-0.0008653228036751419,-0.0005088713394585698,-0.0005088713394585698,-0.0005088713394585698,2.5805856866288482e-05,2.5805856866288482e-05,2.5805856866288482e-05,2026-09-01 05:48:00+00:00,REVERSAL
XRPUSDT,28415,A_sweeponly,buy,1,0.0008911286605414302,0.0006453000645299353,0.024234602423460278,-0.005449200544920091,-0.00645300064530015,-0.02093640209364029,-0.00229112866054143,-0.002736692990812145,-0.0031822573210828604,-0.00229112866054143,-0.002736692990812145,-0.0031822573210828604,-0.00229112866054143,-0.002736692990812145,-0.0031822573210828604,2026-09-01 05:48:00+00:00,CONTINUATION
XRPUSDT,28416,C_2bar,buy,-1,0.0009279101003783301,0.02325414483600085,0.0016507571951481868,0.0046651833775927295,0.005095815689370476,0.019737314289815604,-0.0008432539397730019,-0.0008432539397730019,-0.0008432539397730019,-0.0004720898996216699,-0.0004720898996216699,-0.0004720898996216699,-0.00232791010037833,-0.0027918651505674952,8.465616060532831e-05,2026-09-01 05:49:00+00:00,REVERSAL
XRPUSDT,28416,C_2bar,buy,1,0.0009279101003783301,0.0016507571951481868,0.02325414483600085,-0.0046651833775927295,-0.005095815689370476,-0.019737314289815604,-0.00232791010037833,-0.0008432539397730019,-0.0008432539397730019,-0.00232791010037833,-0.0004720898996216699,-0.0004720898996216699,-0.00232791010037833,8.465616060532831e-05,8.465616060532831e-05,2026-09-01 05:49:00+00:00,CONTINUATION
XRPUSDT,28418,D_displ,buy,1,0.0009937710023768358,0.0008605851979345007,0.02402467010900752,-0.006024096385542301,-0.006884681583476802,-0.02043889845094678,-0.0008037373985738985,-0.0008037373985738985,-0.0008037373985738985,-0.002393771002376836,-0.002890656503565254,-0.0033875420047536717,-0.002393771002376836,-0.002890656503565254,-0.0033875420047536717,2026-09-01 05:51:00+00:00,CONTINUATION
XRPUSDT,28419,A_sweeponly,buy,-1,0.0009735601557696087,0.023744619799139104,0.0011477761836442223,0.006312769010042984,0.006671449067431754,0.01987087517933991,-0.002373560155769609,-0.0008158639065382348,-0.0008158639065382348,-0.002373560155769609,-0.00042643984423039124,-0.00042643984423039124,-0.002373560155769609,0.00015769624923137418,0.00015769624923137418,2026-09-01 05:52:00+00:00,REVERSAL
XRPUSDT,28419,A_sweeponly,buy,1,0.0009735601557696087,0.0011477761836442223,0.023744619799139104,-0.006312769010042984,-0.006671449067431754,-0.01987087517933991,-0.0008158639065382348,-0.0008158639065382348,-0.0008158639065382348,-0.00042643984423039124,-0.00042643984423039124,-0.00042643984423039124,-0.002373560155769609,-0.002860340233654413,-0.0033471203115392175,2026-09-01 05:52:00+00:00,CONTINUATION
XRPUSDT,28419,B_samebar,buy,-1,0.0009735601557696087,0.023744619799139104,0.0011477761836442223,0.006312769010042984,0.006671449067431754,0.01987087517933991,-0.002373560155769609,-0.0008158639065382348,-0.0008158639065382348,-0.002373560155769609,-0.00042643984423039124,-0.00042643984423039124,-0.002373560155769609,0.00015769624923137418,0.00015769624923137418,2026-09-01 05:52:00+00:00,REVERSAL
XRPUSDT,28419,B_samebar,buy,1,0.0009735601557696087,0.0011477761836442223,0.023744619799139104,-0.006312769010042984,-0.006671449067431754,-0.01987087517933991,-0.0008158639065382348,-0.0008158639065382348,-0.0008158639065382348,-0.00042643984423039124,-0.00042643984423039124,-0.00042643984423039124,-0.002373560155769609,-0.002860340233654413,-0.0033471203115392175,2026-09-01 05:52:00+00:00,CONTINUATION
