pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
SOLUSDT,2026-08-16 00:28:00+00:00,0.0005000000000000001,BE_STOP,0.003695119528507998,0.006,2026-08-16 00:28:00+00:00,f1
ETHUSDT,2026-08-16 13:47:00+00:00,-0.007918842022446564,MAX_AGE,0.0026920997843108774,0.006,2026-08-16 13:47:00+00:00,f1
ETHUSDT,2026-08-16 17:11:00+00:00,0.0005000000000000001,BE_STOP,0.004135082913986009,0.006,2026-08-16 17:11:00+00:00,f1
ETHUSDT,2026-08-16 17:35:00+00:00,0.0005000000000000001,BE_STOP,0.005261004267259065,0.006,2026-08-16 17:35:00+00:00,f1
ETHUSDT,2026-08-16 17:56:00+00:00,-0.005801295877914654,MAX_AGE,0.0021899910482118417,0.006,2026-08-16 17:56:00+00:00,f1
ETHUSDT,2026-08-16 18:04:00+00:00,0.0005000000000000001,BE_STOP,0.00588107050371963,0.006,2026-08-16 18:04:00+00:00,f1
NEARUSDT,2026-08-16 20:52:00+00:00,0.004600000000000001,TP,0.008261382694577359,0.006,2026-08-16 20:52:00+00:00,f1
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,0.007846928716214521,0.006,2026-08-16 21:40:00+00:00,f1
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,0.006915077275909343,0.006,2026-08-16 21:40:00+00:00,f1
ETHUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,0.008254635601632854,0.006,2026-08-16 21:40:00+00:00,f1
BTCUSDT,2026-08-16 21:47:00+00:00,0.0005000000000000001,BE_STOP,0.004940320985969292,0.006,2026-08-16 21:47:00+00:00,f1
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,BE_STOP,0.005323908091198078,0.006,2026-08-16 21:50:00+00:00,f1
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,BE_STOP,0.005439084317703342,0.006,2026-08-16 21:50:00+00:00,f1
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,BE_STOP,0.005304972459831875,0.006,2026-08-16 21:50:00+00:00,f1
BTCUSDT,2026-08-16 21:51:00+00:00,0.0005000000000000001,BE_STOP,0.005820710694346864,0.006,2026-08-16 21:51:00+00:00,f1
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005000000000000001,BE_STOP,0.004310923692621712,0.006,2026-08-16 22:05:00+00:00,f1
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005000000000000001,BE_STOP,0.00408355161528629,0.006,2026-08-16 22:05:00+00:00,f1
BTCUSDT,2026-08-16 22:49:00+00:00,0.0005000000000000001,BE_STOP,0.0030842841486246617,0.006,2026-08-16 22:49:00+00:00,f1
BTCUSDT,2026-08-16 22:51:00+00:00,0.0005000000000000001,BE_STOP,0.0037007598639239962,0.006,2026-08-16 22:51:00+00:00,f1
BTCUSDT,2026-08-16 22:53:00+00:00,0.0005000000000000001,BE_STOP,0.0037530222081632735,0.006,2026-08-16 22:53:00+00:00,f1
BTCUSDT,2026-08-16 22:57:00+00:00,0.0005000000000000001,BE_STOP,0.004109210287962617,0.006,2026-08-16 22:57:00+00:00,f1
XRPUSDT,2026-08-16 22:59:00+00:00,0.0005000000000000001,BE_STOP,0.0037197144867799703,0.006,2026-08-16 22:59:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.008107516666043998,0.006,2026-08-17 01:01:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.00832278970942302,0.006,2026-08-17 01:01:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.008085994417194663,0.006,2026-08-17 01:01:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.0074085136569469355,0.006,2026-08-17 01:01:00+00:00,f1
BTCUSDT,2026-08-17 01:15:00+00:00,0.0005000000000000001,BE_STOP,0.004014309120872636,0.006,2026-08-17 01:15:00+00:00,f1
ETHUSDT,2026-08-17 01:37:00+00:00,0.0005000000000000001,BE_STOP,0.0033703168732772066,0.006,2026-08-17 01:37:00+00:00,f1
BTCUSDT,2026-08-17 01:54:00+00:00,0.0005000000000000001,BE_STOP,0.003216577035195051,0.006,2026-08-17 01:54:00+00:00,f1
BTCUSDT,2026-08-17 02:52:00+00:00,0.004600000000000001,TP,0.0060164234242380005,0.006,2026-08-17 02:52:00+00:00,f1
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,TP,0.006536973617453115,0.006,2026-08-17 02:53:00+00:00,f1
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,TP,0.006329555361813472,0.006,2026-08-17 02:53:00+00:00,f1
BTCUSDT,2026-08-17 05:28:00+00:00,0.0005000000000000001,BE_STOP,0.0030156510871177343,0.006,2026-08-17 05:28:00+00:00,f1
SOLUSDT,2026-08-17 06:45:00+00:00,0.004600000000000001,TP,0.006559601900022742,0.006,2026-08-17 06:45:00+00:00,f1
NEARUSDT,2026-08-17 06:46:00+00:00,0.004600000000000001,TP,0.00706670727992693,0.006,2026-08-17 06:46:00+00:00,f1
