pair,i,dir,atr_frac,mfe,mae,ret30,ret240,t0.6_s1.0,t0.6_s1.5,t0.6_s2.0,t1.0_s1.0,t1.0_s1.5,t1.0_s2.0,t1.6_s1.0,t1.6_s1.5,t1.6_s2.0,premise,variant,ts
SOLUSDT,17489,1,0.0029176448966040792,0.012045567729083679,0.017119023904382528,0.0025419156706507776,-0.001960906374502066,0.00035058693796244747,0.00035058693796244747,0.00035058693796244747,0.0015176448966040792,0.0015176448966040792,0.0015176448966040792,0.003268231834566527,0.003268231834566527,0.003268231834566527,MSS,M1_break_close,2026-08-24 15:42:00+00:00
SOLUSDT,17491,-1,0.0031608247148081038,0.0186971068687267,0.01042065900827645,-0.005231046520059204,0.004226271247889467,0.0004964948288848621,0.0004964948288848621,0.0004964948288848621,0.0017608247148081038,0.0017608247148081038,0.0017608247148081038,-0.004560824714808104,-0.0061412370722121554,-0.007721649429616208,MSS,M2_retest,2026-08-24 15:44:00+00:00
SOLUSDT,17491,1,0.0031608247148081038,0.01042065900827645,0.0186971068687267,0.005231046520059204,-0.004226271247889467,0.0004964948288848621,0.0004964948288848621,0.0004964948288848621,-0.004560824714808104,0.0017608247148081038,0.0017608247148081038,-0.004560824714808104,0.0036573195436929665,0.0036573195436929665,MSS,M2_retest,2026-08-24 15:44:00+00:00
SOLUSDT,17543,-1,0.0018816208935891717,0.02173711004863747,0.001662553310133328,0.009335081940127391,0.0032734745298897455,-0.0002710274638464971,-0.0002710274638464971,-0.0002710274638464971,0.0004816208935891717,0.0004816208935891717,0.0004816208935891717,0.0016105934297426748,0.0016105934297426748,0.0016105934297426748,MSS,M1_break_close,2026-08-24 16:36:00+00:00
SOLUSDT,17543,1,0.0018816208935891717,0.001662553310133328,0.02173711004863747,-0.009335081940127391,-0.0032734745298897455,-0.0002710274638464971,-0.0002710274638464971,-0.0002710274638464971,-0.0032816208935891717,-0.004222431340383757,-0.005163241787178343,-0.0032816208935891717,-0.004222431340383757,-0.005163241787178343,MSS,M1_break_close,2026-08-24 16:36:00+00:00
SOLUSDT,17544,-1,0.0018774675867683146,0.021979496815089403,0.001022062087690901,0.00912629177291639,0.0020441241753816554,-0.00027351944793901125,-0.00027351944793901125,-0.00027351944793901125,0.0004774675867683146,0.0004774675867683146,0.0004774675867683146,0.0016039481388293033,0.0016039481388293033,0.0016039481388293033,MSS,M2_retest,2026-08-24 16:37:00+00:00
SOLUSDT,17544,1,0.0018774675867683146,0.001022062087690901,0.021979496815089403,-0.00912629177291639,-0.0020441241753816554,-0.0032774675867683145,-0.004216201380152472,-0.005154935173536629,-0.0032774675867683145,-0.004216201380152472,-0.005154935173536629,-0.0032774675867683145,-0.004216201380152472,-0.005154935173536629,MSS,M2_retest,2026-08-24 16:37:00+00:00
SOLUSDT,17560,-1,0.0021020676417200426,0.011725677564731262,0.009055060610486292,0.009472344509587111,-0.005873270879843126,-0.0035020676417200428,-0.004553101462580064,-0.005604135283440085,-0.0035020676417200428,-0.004553101462580064,-0.005604135283440085,-0.0035020676417200428,-0.004553101462580064,-0.005604135283440085,MSS,M1_break_close,2026-08-24 16:53:00+00:00
SOLUSDT,17560,1,0.0021020676417200426,0.009055060610486292,0.011725677564731262,-0.009472344509587111,0.005873270879843126,-0.0001387594149679745,-0.0001387594149679745,-0.0001387594149679745,0.0007020676417200426,0.0007020676417200426,0.0007020676417200426,0.001963308226752068,0.001963308226752068,0.001963308226752068,MSS,M1_break_close,2026-08-24 16:53:00+00:00
SOLUSDT,17562,-1,0.002168350108343238,0.015126469762654757,0.005582758943330383,0.011186310284959752,-0.0026302383848465015,-9.898993499405729e-05,-9.898993499405729e-05,-9.898993499405729e-05,0.0007683501083432379,0.0007683501083432379,0.0007683501083432379,0.0020693601733491806,0.0020693601733491806,0.0020693601733491806,MSS,M2_retest,2026-08-24 16:55:00+00:00
SOLUSDT,17562,1,0.002168350108343238,0.005582758943330383,0.015126469762654757,-0.011186310284959752,0.0026302383848465015,-9.898993499405729e-05,-9.898993499405729e-05,-9.898993499405729e-05,-0.0035683501083432377,-0.004652525162514857,-0.005736700216686476,-0.0035683501083432377,-0.004652525162514857,-0.005736700216686476,MSS,M2_retest,2026-08-24 16:55:00+00:00
SOLUSDT,17566,-1,0.002435039431928873,0.00782354604581016,0.01303924340968365,0.005226170651752655,-0.011436830364156207,6.102365915732367e-05,6.102365915732367e-05,6.102365915732367e-05,0.0010350394319288728,0.0010350394319288728,0.0010350394319288728,-0.003835039431928873,-0.0050525591478933094,-0.006270078863857746,MSS,M1_break_close,2026-08-24 16:59:00+00:00
SOLUSDT,17566,1,0.002435039431928873,0.01303924340968365,0.00782354604581016,-0.005226170651752655,0.011436830364156207,6.102365915732367e-05,6.102365915732367e-05,6.102365915732367e-05,-0.003835039431928873,0.0010350394319288728,0.0010350394319288728,-0.003835039431928873,0.0024960630910861965,0.0024960630910861965,MSS,M1_break_close,2026-08-24 16:59:00+00:00
SOLUSDT,17571,-1,0.0027641873557831677,0.010238836533840442,0.010917943038635955,0.007898531040391168,-0.010865704076728653,-0.0041641873557831674,-0.0055462810336747515,0.0002585124134699005,-0.0041641873557831674,-0.0055462810336747515,0.0013641873557831677,-0.0041641873557831674,-0.0055462810336747515,0.0030226997692530686,MSS,M2_retest,2026-08-24 17:04:00+00:00
SOLUSDT,17571,1,0.0027641873557831677,0.010917943038635955,0.010238836533840442,-0.007898531040391168,0.010865704076728653,0.0002585124134699005,0.0002585124134699005,0.0002585124134699005,0.0013641873557831677,0.0013641873557831677,0.0013641873557831677,0.0030226997692530686,0.0030226997692530686,0.0030226997692530686,MSS,M2_retest,2026-08-24 17:04:00+00:00
SOLUSDT,17644,1,0.0014723103250213843,0.015864440588864773,0.009308800764651499,-0.000820753638847553,0.013163226081264957,-0.0028723103250213843,-0.0036084654875320763,-0.0005166138049871694,-0.0028723103250213843,-0.0036084654875320763,7.231032502138428e-05,-0.0028723103250213843,-0.0036084654875320763,-0.004344620650042768,MSS,M1_break_close,2026-08-24 18:17:00+00:00
SOLUSDT,17644,-1,0.0014723103250213843,0.009308800764651499,0.015864440588864773,0.000820753638847553,-0.013163226081264957,-0.0005166138049871694,-0.0005166138049871694,-0.0005166138049871694,7.231032502138428e-05,7.231032502138428e-05,7.231032502138428e-05,0.0009556965200342149,0.0009556965200342149,0.0009556965200342149,MSS,M1_break_close,2026-08-24 18:17:00+00:00
SOLUSDT,17645,1,0.0014784880362025145,0.016540352846999222,0.00864963769245957,-0.0005925833515265566,0.012735343958248954,-0.0028784880362025143,-0.0005129071782784913,-0.0005129071782784913,-0.0028784880362025143,7.848803620251455e-05,7.848803620251455e-05,-0.0028784880362025143,-0.003617732054303772,-0.004356976072405029,MSS,M2_retest,2026-08-24 18:18:00+00:00
SOLUSDT,17645,-1,0.0014784880362025145,0.00864963769245957,0.016540352846999222,0.0005925833515265566,-0.012735343958248954,-0.0005129071782784913,-0.0005129071782784913,-0.0005129071782784913,7.848803620251455e-05,7.848803620251455e-05,7.848803620251455e-05,-0.0028784880362025143,0.0009655808579240234,0.0009655808579240234,MSS,M2_retest,2026-08-24 18:18:00+00:00
SOLUSDT,17692,-1,0.0018794035646495458,0.0,0.03470117558228549,-0.007571546923665742,-0.024077938693541183,-0.003279403564649546,-0.004219105346974319,-0.005158807129299092,-0.003279403564649546,-0.004219105346974319,-0.005158807129299092,-0.003279403564649546,-0.004219105346974319,-0.005158807129299092,MSS,M1_break_close,2026-08-24 19:05:00+00:00
SOLUSDT,17692,1,0.0018794035646495458,0.03470117558228549,0.0,0.007571546923665742,0.024077938693541183,-0.00027235786121027256,-0.00027235786121027256,-0.00027235786121027256,0.00047940356464954586,0.00047940356464954586,0.00047940356464954586,0.0016070457034392737,0.0016070457034392737,0.0016070457034392737,MSS,M1_break_close,2026-08-24 19:05:00+00:00
SOLUSDT,17693,-1,0.0019291883201854507,0.00164354880921236,0.03288144464799781,-0.006291546715519488,-0.022360638576288883,-0.0002424870078887296,-0.0002424870078887296,-0.0002424870078887296,-0.0033291883201854505,-0.004293782480278176,-0.005258376640370902,-0.0033291883201854505,-0.004293782480278176,-0.005258376640370902,MSS,M2_retest,2026-08-24 19:06:00+00:00
SOLUSDT,17693,1,0.0019291883201854507,0.03288144464799781,0.00164354880921236,0.006291546715519488,0.022360638576288883,-0.0002424870078887296,-0.0002424870078887296,-0.0002424870078887296,0.0005291883201854507,0.0005291883201854507,0.0005291883201854507,0.0016867013122967213,0.0016867013122967213,0.0016867013122967213,MSS,M2_retest,2026-08-24 19:06:00+00:00
SOLUSDT,17724,1,0.0013573230918484949,0.024537137991547508,0.006541852278745163,-0.0001869100651070131,0.02202423600510897,-0.0005856061448909031,-0.0005856061448909031,-0.0005856061448909031,-4.2676908151505124e-05,-4.2676908151505124e-05,-4.2676908151505124e-05,-0.002757323091848495,-0.003435984637772742,-0.0041146461836969895,MSS,M1_break_close,2026-08-24 19:37:00+00:00
SOLUSDT,17724,-1,0.0013573230918484949,0.006541852278745163,0.024537137991547508,0.0001869100651070131,-0.02202423600510897,-0.002757323091848495,-0.0005856061448909031,-0.0005856061448909031,-0.002757323091848495,-4.2676908151505124e-05,-4.2676908151505124e-05,-0.002757323091848495,0.000771716946957592,0.000771716946957592,MSS,M1_break_close,2026-08-24 19:37:00+00:00
