pair,ts,net_frac,exit_type,hold_min,slots_at_entry,pair_open_at_entry,regime
SOLUSDT,2026-08-30 17:24:00+00:00,0.004600000000000001,TP,127.0,8,0,CHOP
NEARUSDT,2026-08-30 18:52:00+00:00,-0.0264,MAE_KILL,217.0,7,0,CHOP
NEARUSDT,2026-08-30 18:57:00+00:00,0.004600000000000001,TP,4.0,8,0,CHOP
BTCUSDT,2026-08-30 20:43:00+00:00,0.004600000000000001,TP,105.0,8,4,CHOP
NEARUSDT,2026-08-30 20:46:00+00:00,0.0005000000000000001,BE_STOP,3.0,8,0,CHOP
BTCUSDT,2026-08-30 21:01:00+00:00,0.004600000000000001,TP,215.0,8,3,CHOP
XRPUSDT,2026-08-30 21:01:00+00:00,0.004600000000000001,TP,15.0,8,0,CHOP
ETHUSDT,2026-08-30 22:32:00+00:00,0.0005000000000000001,BE_STOP,90.0,7,3,CHOP
BTCUSDT,2026-08-30 23:19:00+00:00,0.0005000000000000001,BE_STOP,47.0,8,4,CHOP
BTCUSDT,2026-08-30 23:20:00+00:00,0.0005000000000000001,BE_STOP,136.0,8,3,CHOP
ETHUSDT,2026-08-30 23:23:00+00:00,0.004600000000000001,TP,1141.0,8,2,CHOP
ETHUSDT,2026-08-30 23:23:00+00:00,0.004600000000000001,TP,4.0,8,3,CHOP
BTCUSDT,2026-08-30 23:26:00+00:00,0.0005000000000000001,BE_STOP,1147.0,8,5,CHOP
NEARUSDT,2026-08-30 23:28:00+00:00,0.004600000000000001,TP,4.0,6,0,CHOP
ETHUSDT,2026-08-30 23:29:00+00:00,0.004600000000000001,TP,1942.0,7,0,TREND
ETHUSDT,2026-08-30 23:29:00+00:00,0.004600000000000001,TP,1940.0,8,1,TREND
BTCUSDT,2026-08-30 23:30:00+00:00,0.004600000000000001,TP,4.0,6,2,CHOP
BTCUSDT,2026-08-30 23:31:00+00:00,0.0005000000000000001,BE_STOP,1947.0,7,4,CHOP
BTCUSDT,2026-08-30 23:37:00+00:00,0.0005000000000000001,BE_STOP,4.0,3,2,TREND
BTCUSDT,2026-08-30 23:41:00+00:00,0.004600000000000001,TP,11.0,3,2,TREND
ETHUSDT,2026-08-30 23:43:00+00:00,0.0005000000000000001,BE_STOP,3.0,4,0,TREND
BTCUSDT,2026-08-30 23:46:00+00:00,0.004600000000000001,TP,10.0,4,3,TREND
BTCUSDT,2026-08-30 23:47:00+00:00,0.004600000000000001,TP,2375.0,8,6,CHOP
BTCUSDT,2026-08-30 23:47:00+00:00,0.004600000000000001,TP,4.0,3,2,TREND
NEARUSDT,2026-08-31 00:16:00+00:00,0.004600000000000001,TP,9.0,8,1,TREND
ETHUSDT,2026-08-31 00:23:00+00:00,0.004600000000000001,TP,21.0,6,0,TREND
BTCUSDT,2026-08-31 00:35:00+00:00,0.004600000000000001,TP,35.0,5,2,TREND
SOLUSDT,2026-08-31 00:36:00+00:00,0.004600000000000001,TP,38.0,4,0,TREND
NEARUSDT,2026-08-31 00:38:00+00:00,-0.0264,MAE_KILL,44.0,3,0,TREND
BTCUSDT,2026-08-31 00:47:00+00:00,0.0005000000000000001,BE_STOP,30.0,8,4,TREND
NEARUSDT,2026-08-31 00:54:00+00:00,0.004600000000000001,TP,7.0,8,0,CHOP
BTCUSDT,2026-08-31 01:04:00+00:00,0.0005000000000000001,BE_STOP,59.0,7,3,TREND
ETHUSDT,2026-08-31 02:06:00+00:00,0.0005000000000000001,BE_STOP,61.0,8,0,TREND
SOLUSDT,2026-08-31 02:35:00+00:00,0.0005000000000000001,BE_STOP,28.0,8,2,TREND
ETHUSDT,2026-08-31 03:09:00+00:00,0.0005000000000000001,BE_STOP,33.0,8,0,CHOP
NEARUSDT,2026-08-31 03:19:00+00:00,0.004600000000000001,TP,10.0,8,0,CHOP
ETHUSDT,2026-08-31 04:02:00+00:00,0.0005000000000000001,BE_STOP,43.0,8,0,CHOP
SOLUSDT,2026-08-31 05:25:00+00:00,0.004600000000000001,TP,301.0,8,1,TREND
SOLUSDT,2026-08-31 05:25:00+00:00,0.004600000000000001,TP,271.0,8,1,TREND
BTCUSDT,2026-08-31 07:29:00+00:00,0.0005000000000000001,BE_STOP,123.0,7,6,CHOP
BTCUSDT,2026-08-31 07:31:00+00:00,0.0005000000000000001,BE_STOP,414.0,7,4,CHOP
BTCUSDT,2026-08-31 07:31:00+00:00,0.0005000000000000001,BE_STOP,409.0,8,6,CHOP
BTCUSDT,2026-08-31 08:03:00+00:00,0.0005000000000000001,BE_STOP,444.0,7,5,CHOP
XRPUSDT,2026-08-31 08:03:00+00:00,0.0005000000000000001,BE_STOP,31.0,7,0,CHOP
ETHUSDT,2026-08-31 08:09:00+00:00,0.0005000000000000001,BE_STOP,35.0,8,0,CHOP
SOLUSDT,2026-08-31 08:09:00+00:00,0.0005000000000000001,BE_STOP,6.0,7,0,TREND
BTCUSDT,2026-08-31 08:44:00+00:00,0.0005000000000000001,BE_STOP,75.0,8,6,CHOP
BTCUSDT,2026-08-31 08:44:00+00:00,0.0005000000000000001,BE_STOP,32.0,8,5,TREND
BTCUSDT,2026-08-31 09:08:00+00:00,0.004600000000000001,TP,22.0,8,5,CHOP
BTCUSDT,2026-08-31 09:09:00+00:00,0.004600000000000001,TP,25.0,7,4,CHOP
NEARUSDT,2026-08-31 09:11:00+00:00,0.0005000000000000001,BE_STOP,221.0,8,0,CHOP
SOLUSDT,2026-08-31 10:12:00+00:00,0.0005000000000000001,BE_STOP,59.0,8,1,TREND
BTCUSDT,2026-08-31 12:30:00+00:00,0.004600000000000001,TP,138.0,8,6,TREND
BTCUSDT,2026-08-31 12:59:00+00:00,0.0005000000000000001,BE_STOP,28.0,8,6,CHOP
BTCUSDT,2026-08-31 13:00:00+00:00,0.0005000000000000001,BE_STOP,293.0,8,4,TREND
SOLUSDT,2026-08-31 13:38:00+00:00,0.0005000000000000001,BE_STOP,329.0,7,0,TREND
ETHUSDT,2026-08-31 14:04:00+00:00,0.0005000000000000001,BE_STOP,26.0,8,1,CHOP
ETHUSDT,2026-08-31 14:41:00+00:00,0.004600000000000001,TP,99.0,8,0,CHOP
SOLUSDT,2026-08-31 14:41:00+00:00,0.004600000000000001,TP,37.0,8,0,CHOP
ETHUSDT,2026-08-31 15:47:00+00:00,0.0005000000000000001,BE_STOP,64.0,7,0,CHOP
BTCUSDT,2026-08-31 15:53:00+00:00,0.0005000000000000001,BE_STOP,68.0,8,5,CHOP
SOLUSDT,2026-08-31 16:42:00+00:00,0.0005000000000000001,BE_STOP,48.0,8,0,CHOP
XRPUSDT,2026-08-31 16:49:00+00:00,0.0005000000000000001,BE_STOP,7.0,8,1,CHOP
BTCUSDT,2026-08-31 16:57:00+00:00,0.0005000000000000001,BE_STOP,466.0,7,5,TREND
BTCUSDT,2026-08-31 16:57:00+00:00,0.0005000000000000001,BE_STOP,70.0,8,6,CHOP
BTCUSDT,2026-08-31 17:46:00+00:00,0.0005000000000000001,BE_STOP,517.0,7,4,TREND
BTCUSDT,2026-08-31 18:01:00+00:00,0.0005000000000000001,BE_STOP,72.0,8,6,CHOP
BTCUSDT,2026-08-31 18:01:00+00:00,0.0005000000000000001,BE_STOP,64.0,7,5,CHOP
SOLUSDT,2026-08-31 18:24:00+00:00,0.0005000000000000001,BE_STOP,23.0,7,0,CHOP
NEARUSDT,2026-08-31 18:42:00+00:00,0.0005000000000000001,BE_STOP,18.0,8,1,CHOP
BTCUSDT,2026-08-31 18:53:00+00:00,0.0005000000000000001,BE_STOP,66.0,8,6,CHOP
NEARUSDT,2026-08-31 19:49:00+00:00,0.0005000000000000001,BE_STOP,56.0,8,1,CHOP
SOLUSDT,2026-08-31 21:30:00+00:00,0.0005000000000000001,BE_STOP,101.0,8,0,CHOP
NEARUSDT,2026-08-31 22:57:00+00:00,-0.0264,MAE_KILL,294.0,8,0,CHOP
BTCUSDT,2026-08-31 23:19:00+00:00,0.0005000000000000001,BE_STOP,379.0,8,6,CHOP
ETHUSDT,2026-09-01 01:28:00+00:00,0.0005000000000000001,BE_STOP,129.0,8,0,CHOP
BTCUSDT,2026-09-01 01:35:00+00:00,0.0005000000000000001,BE_STOP,158.0,8,6,CHOP
BTCUSDT,2026-09-01 02:24:00+00:00,0.0005000000000000001,BE_STOP,56.0,8,6,CHOP
ETHUSDT,2026-09-01 02:27:00+00:00,0.0005000000000000001,BE_STOP,52.0,8,0,CHOP
NEARUSDT,2026-09-01 03:46:00+00:00,-0.0264,MAE_KILL,82.0,8,0,CHOP
BTCUSDT,2026-09-01 05:12:00+00:00,0.0005000000000000001,BE_STOP,86.0,8,6,CHOP
BTCUSDT,2026-09-01 06:02:00+00:00,0.0005000000000000001,BE_STOP,511.0,8,5,CHOP
BTCUSDT,2026-09-01 06:16:00+00:00,0.0005000000000000001,BE_STOP,64.0,8,6,CHOP
BTCUSDT,2026-09-01 08:06:00+00:00,0.004600000000000001,TP,110.0,8,5,CHOP
BTCUSDT,2026-09-01 08:26:00+00:00,0.004600000000000001,TP,19.0,8,5,CHOP
BTCUSDT,2026-09-01 10:31:00+00:00,0.0005000000000000001,BE_STOP,482.0,8,5,CHOP
NEARUSDT,2026-09-01 10:44:00+00:00,0.0005000000000000001,BE_STOP,12.0,8,0,TREND
BTCUSDT,2026-09-01 12:42:00+00:00,0.0005000000000000001,BE_STOP,255.0,8,5,CHOP
ETHUSDT,2026-09-01 13:06:00+00:00,0.004600000000000001,TP,24.0,8,2,CHOP
XRPUSDT,2026-09-01 13:07:00+00:00,0.0005000000000000001,BE_STOP,1448.0,8,0,CHOP
BTCUSDT,2026-09-01 13:43:00+00:00,0.0005000000000000001,BE_STOP,36.0,7,4,CHOP
BTCUSDT,2026-09-01 13:44:00+00:00,0.0005000000000000001,BE_STOP,34.0,8,5,CHOP
BTCUSDT,2026-09-01 13:58:00+00:00,0.0005000000000000001,BE_STOP,12.0,8,4,CHOP
XRPUSDT,2026-09-01 14:01:00+00:00,0.004600000000000001,TP,17.0,7,0,CHOP
BTCUSDT,2026-09-01 14:12:00+00:00,0.0005000000000000001,BE_STOP,10.0,8,4,CHOP
XRPUSDT,2026-09-01 14:19:00+00:00,0.0005000000000000001,BE_STOP,19.0,8,1,CHOP
NEARUSDT,2026-09-01 14:23:00+00:00,0.004600000000000001,TP,4.0,8,0,TREND
NEARUSDT,2026-09-01 16:17:00+00:00,-0.0264,MAE_KILL,112.0,8,0,TREND
BTCUSDT,2026-09-01 16:40:00+00:00,0.0005000000000000001,BE_STOP,21.0,8,5,CHOP
BTCUSDT,2026-09-01 16:41:00+00:00,0.0005000000000000001,BE_STOP,2198.0,8,5,CHOP
SOLUSDT,2026-09-01 16:46:00+00:00,0.0005000000000000001,BE_STOP,5.0,7,0,CHOP
NEARUSDT,2026-09-01 17:06:00+00:00,0.004614731142100191,TP,19.0,8,0,CHOP
BTCUSDT,2026-09-01 18:19:00+00:00,0.004600000000000001,TP,72.0,8,5,CHOP
BTCUSDT,2026-09-01 18:27:00+00:00,0.004600000000000001,TP,2557.0,2,1,TREND
BTCUSDT,2026-09-01 18:27:00+00:00,0.004600000000000001,TP,102.0,8,4,CHOP
BTCUSDT,2026-09-01 18:28:00+00:00,0.004600000000000001,TP,2560.0,1,0,TREND
SOLUSDT,2026-09-01 18:28:00+00:00,0.004600000000000001,TP,9.0,8,0,CHOP
ETHUSDT,2026-09-01 18:37:00+00:00,0.004600000000000001,TP,8.0,5,2,CHOP
SOLUSDT,2026-09-01 18:40:00+00:00,0.0005000000000000001,BE_STOP,3.0,6,0,TREND
BTCUSDT,2026-09-01 18:45:00+00:00,0.004600000000000001,TP,14.0,6,2,CHOP
SOLUSDT,2026-09-01 18:49:00+00:00,0.0005000000000000001,BE_STOP,10.0,7,1,TREND
SOLUSDT,2026-09-01 18:49:00+00:00,0.0005000000000000001,BE_STOP,8.0,7,1,TREND
NEARUSDT,2026-09-01 19:04:00+00:00,0.004600000000000001,TP,13.0,7,0,CHOP
BTCUSDT,2026-09-01 19:23:00+00:00,0.004600000000000001,TP,29.0,8,4,CHOP
BTCUSDT,2026-09-01 19:29:00+00:00,0.0005000000000000001,BE_STOP,24.0,8,5,CHOP
BTCUSDT,2026-09-01 23:52:00+00:00,0.0005000000000000001,BE_STOP,263.0,8,5,CHOP
BTCUSDT,2026-09-01 23:54:00+00:00,0.0005000000000000001,BE_STOP,270.0,8,5,CHOP
NEARUSDT,2026-09-02 00:07:00+00:00,0.0005000000000000001,BE_STOP,15.0,8,0,CHOP
BTCUSDT,2026-09-02 01:14:00+00:00,0.0005000000000000001,BE_STOP,67.0,8,4,CHOP
NEARUSDT,2026-09-02 01:25:00+00:00,0.0005000000000000001,BE_STOP,11.0,8,0,CHOP
SOLUSDT,2026-09-02 01:40:00+00:00,0.004600000000000001,TP,10.0,8,0,CHOP
SOLUSDT,2026-09-02 01:50:00+00:00,0.004600000000000001,TP,10.0,8,0,CHOP
XRPUSDT,2026-09-02 03:30:00+00:00,0.0005000000000000001,BE_STOP,216.0,8,0,CHOP
ETHUSDT,2026-09-02 09:23:00+00:00,-0.0414,MAE_KILL,1641.0,8,0,CHOP
BTCUSDT,2026-09-02 09:48:00+00:00,0.0005000000000000001,BE_STOP,24.0,8,5,CHOP
SOLUSDT,2026-09-02 09:49:00+00:00,0.0005000000000000001,BE_STOP,479.0,8,0,CHOP
ETHUSDT,2026-09-02 10:32:00+00:00,-0.0414,MAE_KILL,1428.0,8,1,CHOP
ETHUSDT,2026-09-02 10:33:00+00:00,0.004600000000000001,TP,45.0,8,1,TREND
NEARUSDT,2026-09-02 10:50:00+00:00,0.004600000000000001,TP,18.0,8,1,CHOP
BTCUSDT,2026-09-02 10:54:00+00:00,0.0005000000000000001,BE_STOP,968.0,7,2,CHOP
BTCUSDT,2026-09-02 10:54:00+00:00,0.0005000000000000001,BE_STOP,19.0,8,5,TREND
BTCUSDT,2026-09-02 10:55:00+00:00,0.0005000000000000001,BE_STOP,967.0,8,3,CHOP
SOLUSDT,2026-09-02 11:28:00+00:00,0.0005000000000000001,BE_STOP,37.0,8,0,TREND
SOLUSDT,2026-09-02 11:33:00+00:00,0.0005000000000000001,BE_STOP,39.0,7,1,TREND
NEARUSDT,2026-09-02 11:39:00+00:00,0.004600000000000001,TP,108.0,8,0,CHOP
SOLUSDT,2026-09-02 12:31:00+00:00,0.0005000000000000001,BE_STOP,52.0,8,1,TREND
BTCUSDT,2026-09-02 12:46:00+00:00,0.0005000000000000001,BE_STOP,71.0,8,5,TREND
BTCUSDT,2026-09-02 12:50:00+00:00,0.0005000000000000001,BE_STOP,110.0,7,3,TREND
BTCUSDT,2026-09-02 12:50:00+00:00,0.0005000000000000001,BE_STOP,107.0,8,4,TREND
XRPUSDT,2026-09-02 13:01:00+00:00,0.0005000000000000001,BE_STOP,11.0,7,0,CHOP
BTCUSDT,2026-09-02 13:45:00+00:00,0.004600000000000001,TP,74.0,8,6,CHOP
BTCUSDT,2026-09-02 18:43:00+00:00,-0.02447668000176955,MAX_AGE,2880.0,8,5,CHOP
BTCUSDT,2026-09-02 23:09:00+00:00,0.0005000000000000001,BE_STOP,266.0,8,6,CHOP
BTCUSDT,2026-09-03 01:47:00+00:00,0.0005000000000000001,BE_STOP,157.0,8,6,CHOP
BTCUSDT,2026-09-03 02:34:00+00:00,0.004600000000000001,TP,769.0,8,6,CHOP
BTCUSDT,2026-09-03 03:05:00+00:00,0.0005000000000000001,BE_STOP,1415.0,8,4,CHOP
BTCUSDT,2026-09-03 05:23:00+00:00,0.004600000000000001,TP,138.0,8,6,CHOP
BTCUSDT,2026-09-03 05:31:00+00:00,0.0005000000000000001,BE_STOP,223.0,8,6,CHOP
