pair,net_frac,exit_type,mfe_frac,tp_mult
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0045144974314809995,1.6
BTCUSDT,0.0009,BE_RAISED,0.004265398072661413,1.6
BTCUSDT,0.0009,BE_RAISED,0.0036837704338630187,1.6
BTCUSDT,0.0009,BE_RAISED,0.0035323811179216865,1.6
NEARUSDT,0.0009,BE_RAISED,0.0032580737353529797,1.6
NEARUSDT,0.0009,BE_RAISED,0.0031435756744399063,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005045440616444325,1.6
ETHUSDT,0.0009,BE_RAISED,0.004407021145736818,1.6
BTCUSDT,0.0046500000000000005,TP,0.00620114942528744,1.6
BTCUSDT,0.0046500000000000005,TP,0.0070145915586142995,1.6
SOLUSDT,0.0046500000000000005,TP,0.006591091967624393,1.6
NEARUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0057497967243582415,1.6
BTCUSDT,0.0046500000000000005,TP,0.006025701164602076,1.6
BTCUSDT,0.0046500000000000005,TP,0.0063301521884280695,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004811681246213917,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004971810138013357,1.6
SOLUSDT,0.0046500000000000005,TP,0.006406209815061628,1.6
XRPUSDT,0.0009,BE_RAISED,0.00306278713629389,1.6
SOLUSDT,0.0046500000000000005,TP,0.006970303481660649,1.6
BTCUSDT,0.0046500000000000005,TP,0.010792033548398387,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005623105691345138,1.6
BTCUSDT,0.0046500000000000005,TP,0.008447021324776522,1.6
ETHUSDT,0.0046500000000000005,TP,0.006118896566349122,1.6
NEARUSDT,0.0046500000000000005,TP,0.00673900628212452,1.6
NEARUSDT,0.0046500000000000005,TP,0.006566550562439241,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005909926389756152,1.6
SOLUSDT,-0.040600000000000004,MAE_KILL,0.0026374253026505935,1.6
BTCUSDT,0.0046500000000000005,TP,0.007632405334234577,1.6
BTCUSDT,0.0009,BE_RAISED,0.0039059102145724426,1.6
BTCUSDT,0.0009,BE_RAISED,0.0041706201109072485,1.6
SOLUSDT,0.0046500000000000005,TP,0.0061120348603864606,1.6
XRPUSDT,0.0046500000000000005,TP,0.006900165953358388,1.6
BTCUSDT,0.0009,BE_RAISED,0.0032697997930293747,1.6
BTCUSDT,0.0009999573868016984,BE_RAISED,0.0042781408310136005,1.6
BTCUSDT,0.005146858546858564,TP,0.00719129519129515,1.6
