pair,ts,net_frac,exit_type,hold_min,slots_at_entry,pair_open_at_entry,regime,ts_parsed,fold
NEARUSDT,2026-08-26 08:10:00+00:00,0.0005000000000000001,BE_STOP,14.0,8,1,TREND,2026-08-26 08:10:00+00:00,fold2
NEARUSDT,2026-08-26 08:18:00+00:00,0.0005000000000000001,BE_STOP,4.0,7,0,TREND,2026-08-26 08:18:00+00:00,fold2
NEARUSDT,2026-08-26 08:52:00+00:00,0.0005000000000000001,BE_STOP,35.0,8,1,TREND,2026-08-26 08:52:00+00:00,fold2
NEARUSDT,2026-08-26 09:21:00+00:00,0.0005000000000000001,BE_STOP,61.0,8,1,TREND,2026-08-26 09:21:00+00:00,fold2
SOLUSDT,2026-08-26 09:47:00+00:00,0.004600000000000001,TP,567.0,8,2,TREND,2026-08-26 09:47:00+00:00,fold2
XRPUSDT,2026-08-26 10:15:00+00:00,0.0005000000000000001,BE_STOP,32.0,7,0,TREND,2026-08-26 10:15:00+00:00,fold2
XRPUSDT,2026-08-26 10:16:00+00:00,0.0005000000000000001,BE_STOP,31.0,8,1,TREND,2026-08-26 10:16:00+00:00,fold2
XRPUSDT,2026-08-26 13:33:00+00:00,0.0005000000000000001,BE_STOP,3.0,7,0,TREND,2026-08-26 13:33:00+00:00,fold2
NEARUSDT,2026-08-26 13:34:00+00:00,0.0005000000000000001,BE_STOP,227.0,8,0,TREND,2026-08-26 13:34:00+00:00,fold2
XRPUSDT,2026-08-26 13:47:00+00:00,0.0005000000000000001,BE_STOP,6.0,8,2,TREND,2026-08-26 13:47:00+00:00,fold2
XRPUSDT,2026-08-26 14:31:00+00:00,0.004600000000000001,TP,58.0,7,0,TREND,2026-08-26 14:31:00+00:00,fold2
BTCUSDT,2026-08-26 15:04:00+00:00,0.004600000000000001,TP,1074.0,4,3,TREND,2026-08-26 15:04:00+00:00,fold2
BTCUSDT,2026-08-26 15:10:00+00:00,0.0005000000000000001,BE_STOP,1082.0,3,2,TREND,2026-08-26 15:10:00+00:00,fold2
XRPUSDT,2026-08-26 15:51:00+00:00,0.0005000000000000001,BE_STOP,8.0,5,1,TREND,2026-08-26 15:51:00+00:00,fold2
XRPUSDT,2026-08-26 15:51:00+00:00,0.0005000000000000001,BE_STOP,4.0,6,2,TREND,2026-08-26 15:51:00+00:00,fold2
XRPUSDT,2026-08-26 16:12:00+00:00,0.0005000000000000001,BE_STOP,15.0,7,3,TREND,2026-08-26 16:12:00+00:00,fold2
XRPUSDT,2026-08-26 16:46:00+00:00,0.0005000000000000001,BE_STOP,52.0,6,2,TREND,2026-08-26 16:46:00+00:00,fold2
XRPUSDT,2026-08-26 16:46:00+00:00,0.0005000000000000001,BE_STOP,28.0,8,4,TREND,2026-08-26 16:46:00+00:00,fold2
XRPUSDT,2026-08-26 17:16:00+00:00,0.004600000000000001,TP,87.0,7,3,TREND,2026-08-26 17:16:00+00:00,fold2
XRPUSDT,2026-08-26 17:16:00+00:00,0.004600000000000001,TP,70.0,8,4,TREND,2026-08-26 17:16:00+00:00,fold2
XRPUSDT,2026-08-26 17:16:00+00:00,0.004600000000000001,TP,27.0,7,3,TREND,2026-08-26 17:16:00+00:00,fold2
XRPUSDT,2026-08-26 17:18:00+00:00,0.004600000000000001,TP,27.0,8,4,TREND,2026-08-26 17:18:00+00:00,fold2
ETHUSDT,2026-08-26 21:32:00+00:00,0.0005000000000000001,BE_STOP,5.0,5,1,TREND,2026-08-26 21:32:00+00:00,fold2
NEARUSDT,2026-08-26 21:55:00+00:00,0.0005000000000000001,BE_STOP,20.0,7,0,TREND,2026-08-26 21:55:00+00:00,fold2
ETHUSDT,2026-08-26 22:10:00+00:00,0.0005000000000000001,BE_STOP,33.0,8,3,TREND,2026-08-26 22:10:00+00:00,fold2
XRPUSDT,2026-08-26 22:12:00+00:00,0.004600000000000001,TP,514.0,7,1,TREND,2026-08-26 22:12:00+00:00,fold2
SOLUSDT,2026-08-26 22:13:00+00:00,0.004600000000000001,TP,18.0,8,0,TREND,2026-08-26 22:13:00+00:00,fold2
ETHUSDT,2026-08-26 22:16:00+00:00,0.004600000000000001,TP,46.0,6,2,TREND,2026-08-26 22:16:00+00:00,fold2
ETHUSDT,2026-08-26 22:16:00+00:00,0.004600000000000001,TP,43.0,6,2,TREND,2026-08-26 22:16:00+00:00,fold2
ETHUSDT,2026-08-26 22:19:00+00:00,0.004600000000000001,TP,9.0,8,3,TREND,2026-08-26 22:19:00+00:00,fold2
ETHUSDT,2026-08-26 22:23:00+00:00,0.0005000000000000001,BE_STOP,6.0,6,3,TREND,2026-08-26 22:23:00+00:00,fold2
ETHUSDT,2026-08-26 22:32:00+00:00,0.0005000000000000001,BE_STOP,19.0,7,4,TREND,2026-08-26 22:32:00+00:00,fold2
ETHUSDT,2026-08-26 23:26:00+00:00,0.0005000000000000001,BE_STOP,52.0,8,5,TREND,2026-08-26 23:26:00+00:00,fold2
SOLUSDT,2026-08-26 23:44:00+00:00,0.004600000000000001,TP,18.0,8,0,TREND,2026-08-26 23:44:00+00:00,fold2
NEARUSDT,2026-08-27 04:36:00+00:00,-0.0264,MAE_KILL,290.0,8,0,TREND,2026-08-27 04:36:00+00:00,fold2
NEARUSDT,2026-08-27 04:58:00+00:00,0.0005000000000000001,BE_STOP,16.0,8,0,TREND,2026-08-27 04:58:00+00:00,fold2
BTCUSDT,2026-08-27 05:33:00+00:00,-0.027822109706313696,MAX_AGE,2880.0,7,3,TREND,2026-08-27 05:33:00+00:00,fold2
BTCUSDT,2026-08-27 05:35:00+00:00,-0.02851947075746861,MAX_AGE,2880.0,8,4,TREND,2026-08-27 05:35:00+00:00,fold2
NEARUSDT,2026-08-27 05:37:00+00:00,0.0005000000000000001,BE_STOP,32.0,8,0,TREND,2026-08-27 05:37:00+00:00,fold2
ETHUSDT,2026-08-27 08:05:00+00:00,0.0005000000000000001,BE_STOP,586.0,6,3,TREND,2026-08-27 08:05:00+00:00,fold2
ETHUSDT,2026-08-27 08:05:00+00:00,0.0005000000000000001,BE_STOP,583.0,7,4,TREND,2026-08-27 08:05:00+00:00,fold2
ETHUSDT,2026-08-27 08:06:00+00:00,0.0005000000000000001,BE_STOP,582.0,7,4,TREND,2026-08-27 08:06:00+00:00,fold2
ETHUSDT,2026-08-27 08:06:00+00:00,0.0005000000000000001,BE_STOP,579.0,8,5,TREND,2026-08-27 08:06:00+00:00,fold2
ETHUSDT,2026-08-27 08:09:00+00:00,-0.0414,MAE_KILL,2096.0,5,0,TREND,2026-08-27 08:09:00+00:00,fold2
BTCUSDT,2026-08-27 08:39:00+00:00,0.0005000000000000001,BE_STOP,27.0,1,0,TREND,2026-08-27 08:39:00+00:00,fold2
BTCUSDT,2026-08-27 08:43:00+00:00,0.004600000000000001,TP,28.0,2,1,TREND,2026-08-27 08:43:00+00:00,fold2
BTCUSDT,2026-08-27 08:43:00+00:00,0.004600000000000001,TP,26.0,3,2,TREND,2026-08-27 08:43:00+00:00,fold2
BTCUSDT,2026-08-27 08:43:00+00:00,0.004600000000000001,TP,23.0,4,3,TREND,2026-08-27 08:43:00+00:00,fold2
NEARUSDT,2026-08-27 08:43:00+00:00,0.004600000000000001,TP,12.0,7,0,TREND,2026-08-27 08:43:00+00:00,fold2
