pair,i,side,atr_frac,mfe,mae,t_mfe,loc_range_pct,vwap_dev_atr,dist_hi_atr,dist_lo_atr,sweep_lo,sweep_hi,failed_bo,eq_touches,displacement,mss,compression,atr_ratio,atr_pctile,impulse5_atr,roc15_atr,run_len,vol_surge,wick_bias,session,regime,exp_t0.6_s1.0,exp_t0.6_s1.5,exp_t0.6_s2.0,exp_t1.0_s1.0,exp_t1.0_s1.5,exp_t1.0_s2.0,exp_t1.6_s1.0,exp_t1.6_s1.5,exp_t1.6_s2.0,ts,loc_q,vwap_q,disp_q,imp_q,vs_q,wick_q,disthi_q
SOLUSDT,39678,short,0.0007119929726086,0.0051628122824658,0.0117758527341635,111,0.5687638318052483,0.0105180411915235,18.52182347235714,24.42870999030097,True,False,False,7.0,1.2492725509214286,False,False,0.975525137197992,0.3409722222222222,-1.3714839961202705,0.2580019398642856,2,0.7915728103882337,0.0,ASIA,CHOP,-0.0009728042164348,-0.0009728042164348,-0.0009728042164348,-0.0021119929726086,-0.0024679894589129,-0.0028239859452172,-0.0021119929726086,-0.0024679894589129,-0.0028239859452172,2026-09-09 01:31:00+00:00,Q3,disc,large body,rev5 strong,mid vol,neutral,near hi
SOLUSDT,39693,long,0.0008510778942845,0.0088302774403764,0.0080590741704744,210,0.6642428074612684,3.426651421994632,12.029126213592605,23.79773462783217,False,False,False,2.0,0.7135922330097498,False,False,1.1159599121196415,0.5569444444444445,1.3478964401294735,3.4207119741100147,-1,23.423591658885773,-0.1052631578946624,ASIA,CHOP,-0.0022510778942845,-0.0026766168414268,-0.0008893532634292,-0.0022510778942845,-0.0026766168414268,-0.0005489221057154,-0.0022510778942845,-0.0026766168414268,-3.827536914473447e-05,2026-09-09 01:46:00+00:00,Q3,prem,large body,with-trend strong,vol surge,neutral,near hi
SOLUSDT,39741,short,0.000928467958888,0.0062964751327861,0.0112506035731531,48,0.606070186531772,1.7445680988703025,12.95988112927198,19.93907875185732,False,False,False,2.0,0.0208023774145131,False,False,1.023911555138571,0.6486111111111111,0.686478454680559,1.664190193164893,2,0.5981993997999334,-0.971014492753692,ASIA,CHOP,-0.002328467958888,-0.0008429192246671,-0.0008429192246671,-0.002328467958888,-0.0004715320411119,-0.0004715320411119,-0.002328467958888,8.554873422087742e-05,8.554873422087742e-05,2026-09-09 02:34:00+00:00,Q3,prem,small body,with-trend,low vol,lower wick,near hi
SOLUSDT,39803,long,0.0004744404719193,0.0195483326707326,0.0006205819895471,210,0.4729687006006968,-4.914833668789705,34.07007299269994,30.57518248175128,False,False,False,2.0,0.7766423357663373,True,True,0.750136886293136,0.0645833333333333,1.144525547445465,3.699270072992849,-1,4.469971056439943,-0.3939393939393221,ASIA,CHOP,-0.0011153357168483,-0.0011153357168483,-0.0011153357168483,-0.0009255595280806,-0.0009255595280806,-0.0009255595280806,-0.000640895244929,-0.000640895244929,-0.000640895244929,2026-09-09 03:36:00+00:00,Q2,deep disc,large body,with-trend,vol surge,lower wick,mid
SOLUSDT,39818,short,0.0005997337902206,0.0,0.0194297127233591,1,0.4767625671830555,-4.069420048025297,26.75519630484948,24.378752886835795,False,False,False,2.0,0.953810623556756,False,False,0.9609231964196702,0.1875,-1.034642032332433,0.1939953810623599,2,2.7950335843680034,-0.1690140845070197,ASIA,CHOP,-0.0019997337902206,-0.0022996006853309,-0.0025994675804412,-0.0019997337902206,-0.0022996006853309,-0.0025994675804412,-0.0019997337902206,-0.0022996006853309,-0.0025994675804412,2026-09-09 03:51:00+00:00,Q2,disc,large body,flat,vol surge,lower wick,mid
SOLUSDT,39863,long,0.0005511633532723,0.0116321582512314,0.0024245689655173,150,0.7281062282643072,8.616509753069128,15.012468827929508,40.20199501246727,False,False,False,2.0,0.0349127182044058,False,True,0.7034264998246138,0.1326388888888889,1.0648379052369843,3.421446384039963,-1,0.1165144898769353,0.0769230769223201,ASIA,CHOP,-0.0010693019880365,-0.0010693019880365,-0.0010693019880365,-0.0008488366467276,-0.0008488366467276,-0.0008488366467276,-0.0005181386347642,-0.0005181386347642,-0.0005181386347642,2026-09-09 04:36:00+00:00,Q3,deep prem,small body,with-trend,low vol,neutral,near hi
SOLUSDT,39918,short,0.0008541758642532,0.0048947156266196,0.0091272050214023,16,0.8096743597850137,6.331857782803426,6.764044943820372,28.775280898876925,False,False,False,0.0,0.1685393258427056,False,False,0.998597475455798,0.56875,-1.853932584269602,-3.853932584269762,2,0.4645859503333655,-0.2916666666666667,ASIA,CHOP,-0.000887494481448,-0.000887494481448,-0.000887494481448,-0.0005458241357467,-0.0005458241357467,-0.0005458241357467,-3.331861719486884e-05,-3.331861719486884e-05,-3.331861719486884e-05,2026-09-09 05:31:00+00:00,Q4 range-hi,deep prem,small body,rev5 strong,low vol,lower wick,AT high
SOLUSDT,39947,long,0.000680866952283,0.0103392941221688,0.0067166975756469,66,0.7701549162187792,5.369653046966715,10.2600806451613,34.37903225806446,False,False,False,0.0,0.2540322580645246,False,True,0.7790575916230289,0.2847222222222222,1.3689516129033383,3.937499999999931,-1,4.0436721513147775,-0.4065934065934374,ASIA,CHOP,-0.002080866952283,-0.0024213004284245,-0.002761733904566,-0.002080866952283,-0.0024213004284245,-0.002761733904566,-0.002080866952283,-0.0024213004284245,-0.002761733904566,2026-09-09 06:00:00+00:00,Q3,prem,mid,with-trend strong,vol surge,lower wick,AT high
SOLUSDT,40003,short,0.0004361695291146,0.0106335123132434,0.0063552224806424,173,0.9004110022130855,15.58279897216302,6.912225705329051,62.49529780563931,False,False,False,0.0,1.5579937304073963,False,True,0.6399411548363789,0.0506944444444444,-0.1097178683387642,-1.3385579937304917,2,0.7992098935073857,-0.1609195402298306,ASIA,CHOP,-0.0018361695291146,-0.002054254293672,-0.0022723390582293,-0.0018361695291146,-0.002054254293672,-0.0022723390582293,-0.0018361695291146,-0.002054254293672,-0.0022723390582293,2026-09-09 06:56:00+00:00,Q4 range-hi,deep prem,large body,flat,mid vol,lower wick,AT high
SOLUSDT,40014,long,0.0007735331808964,0.0008865670788091,0.0153290307819903,88,0.929954441913441,13.134528351150262,3.031690140844946,40.24999999999921,False,True,False,3.0,0.3080985915493593,True,False,1.1982911692832745,0.4777777777777778,4.054577464788742,5.373239436619691,-1,2.368885324779471,-0.1414141414142574,LONDON,CHOP,-0.0021735331808964,-0.0025602997713447,-0.0029470663617929,-0.0021735331808964,-0.0025602997713447,-0.0029470663617929,-0.0021735331808964,-0.0025602997713447,-0.0029470663617929,2026-09-09 07:07:00+00:00,Q4 range-hi,deep prem,mid,with-trend strong,vol surge,lower wick,AT high
