pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
BTCUSDT,2026-08-13 16:22:00+00:00,0.0010000000000000002,FLOOR40,0.004315526939040409,0.006,2026-08-13 16:22:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,TP,0.006829811006175849,0.006,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,TP,0.006472838826943874,0.006,2026-08-13 16:39:00+00:00,f1
ETHUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,TP,0.008185393855639465,0.006,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:40:00+00:00,0.004600000000000001,TP,0.006974609393483494,0.006,2026-08-13 16:40:00+00:00,f1
ETHUSDT,2026-08-13 19:15:00+00:00,0.0010000000000000002,FLOOR40,0.004640149504130481,0.006,2026-08-13 19:15:00+00:00,f1
BTCUSDT,2026-08-13 22:48:00+00:00,0.0010000000000000002,FLOOR40,0.003916383168073068,0.006,2026-08-13 22:48:00+00:00,f1
ETHUSDT,2026-08-14 00:01:00+00:00,0.0005000000000000001,BE_STOP,0.0030698875785996837,0.006,2026-08-14 00:01:00+00:00,f1
BTCUSDT,2026-08-14 07:03:00+00:00,0.0005000000000000001,BE_STOP,0.0030629885450884097,0.006,2026-08-14 07:03:00+00:00,f1
BTCUSDT,2026-08-14 08:38:00+00:00,0.0010000000000000002,FLOOR40,0.004678039415578515,0.006,2026-08-14 08:38:00+00:00,f1
BTCUSDT,2026-08-14 08:47:00+00:00,0.0010000000000000002,FLOOR40,0.005167753598461078,0.006,2026-08-14 08:47:00+00:00,f1
BTCUSDT,2026-08-14 08:49:00+00:00,0.0010000000000000002,FLOOR40,0.005341407332295497,0.006,2026-08-14 08:49:00+00:00,f1
ETHUSDT,2026-08-14 11:40:00+00:00,0.0005000000000000001,BE_STOP,0.0030133333333333817,0.006,2026-08-14 11:40:00+00:00,f1
ETHUSDT,2026-08-14 11:40:00+00:00,0.0005000000000000001,BE_STOP,0.0030293818034422223,0.006,2026-08-14 11:40:00+00:00,f1
BTCUSDT,2026-08-14 13:26:00+00:00,0.0010000000000000002,FLOOR40,0.004153187372400877,0.006,2026-08-14 13:26:00+00:00,f1
BTCUSDT,2026-08-14 13:26:00+00:00,0.0010000000000000002,FLOOR40,0.004411418462732751,0.006,2026-08-14 13:26:00+00:00,f1
