pair,ts,net_frac,exit_type,variant,k,mfe_frac,hold_min
BTCUSDT,2026-08-17 02:53:00+00:00,0.0046,TP,base,1.6,0.006329555361813472,106.0
BTCUSDT,2026-08-17 05:28:00+00:00,0.0005,BE_STOP,base,1.6,0.0030156510871177343,150.0
SOLUSDT,2026-08-17 06:45:00+00:00,0.0046,TP,base,1.6,0.006559601900022742,306.0
NEARUSDT,2026-08-17 06:46:00+00:00,0.0046,TP,base,1.6,0.00706670727992693,78.0
ETHUSDT,2026-08-17 07:01:00+00:00,0.0005,BE_STOP,base,1.6,0.005195296889131881,245.0
BTCUSDT,2026-08-17 07:17:00+00:00,0.0005,BE_STOP,base,1.6,0.004462053617197032,263.0
BTCUSDT,2026-08-17 09:15:00+00:00,0.0005,BE_STOP,base,1.6,0.003092343615428247,117.0
BTCUSDT,2026-08-17 13:02:00+00:00,0.0005,BE_STOP,base,1.6,0.005775431777022045,226.0
BTCUSDT,2026-08-17 15:28:00+00:00,0.0046,TP,base,1.6,0.006925373134328404,519.0
SOLUSDT,2026-08-17 16:20:00+00:00,0.0005,BE_STOP,base,1.6,0.004972761927373871,559.0
BTCUSDT,2026-08-17 17:23:00+00:00,0.0046,TP,base,1.6,0.0060347682636488495,114.0
SOLUSDT,2026-08-17 17:39:00+00:00,0.0005,BE_STOP,base,1.6,0.003726577211256123,79.0
NEARUSDT,2026-08-17 17:46:00+00:00,-0.0264,MAE_KILL,base,1.6,0.0015732784702892021,659.0
BTCUSDT,2026-08-17 18:23:00+00:00,0.0046,TP,base,1.6,0.00610585454698414,44.0
BTCUSDT,2026-08-17 18:29:00+00:00,0.0005,BE_STOP,base,1.6,0.0036398788986490654,66.0
BTCUSDT,2026-08-17 19:01:00+00:00,0.0005,BE_STOP,base,1.6,0.005364893729644207,75.0
ETHUSDT,2026-08-18 02:30:00+00:00,0.0046,TP,base,1.6,0.006108815571449475,447.0
NEARUSDT,2026-08-18 02:49:00+00:00,0.0005,BE_STOP,base,1.6,0.004174083849978465,19.0
ETHUSDT,2026-08-18 03:36:00+00:00,0.0005,BE_STOP,base,1.6,0.0034153330478411165,1541.0
