pair,i,side,mkt_taker,v1,v2_fill,v2,v2_best,v3_fill,v3,v3_best
SOLUSDT,17620,long,-0.002934759374334257,,1,0.002055614998934811,0.002055614998934811,1,0.0020568434206451333,0.0020568434206451333
SOLUSDT,17665,short,-0.0028919436532433736,,1,-0.0023919436532433736,-0.0023919436532433736,1,-0.002391198054216266,-0.002391198054216266
SOLUSDT,17717,long,0.0013724158270724024,,1,0.0018724158270724024,0.0018724158270724024,1,0.001873552603374089,0.001873552603374089
SOLUSDT,17759,short,0.0016328416617390393,,1,0.0021328416617390393,0.0021328416617390393,0,,
SOLUSDT,17782,long,0.001046391066564119,,1,0.001546391066564119,0.001546391066564119,0,,
SOLUSDT,17843,long,0.0005426794642488476,,1,0.0010426794642488474,0.0010426794642488474,0,,
SOLUSDT,17905,long,-0.003452845528455287,,1,-0.002952845528455287,-0.002952845528455287,1,-0.0029538724646876306,-0.0029538724646876306
SOLUSDT,17913,short,-0.0041748271311228295,,1,-0.00367482713112283,0.0023748271311228295,1,0.0040375046574677945,0.0040375046574677945
SOLUSDT,17967,long,0.001900989574642525,,1,0.002400989574642525,0.002400989574642525,1,-0.002651494231267212,0.0024023907700275386
SOLUSDT,18033,long,-0.006223443884304573,,1,-0.005723443884304572,0.004423443884304573,1,-0.005725856812710928,0.004425856812710929
SOLUSDT,18062,short,-0.004104115765388452,,1,-0.003604115765388452,-0.003604115765388452,1,-0.0036027643831968536,-0.0036027643831968536
SOLUSDT,18122,short,-0.003082496067538777,,1,-0.002582496067538777,-0.002582496067538777,1,-0.002581655239918818,-0.002581655239918818
SOLUSDT,18126,long,-0.00453301013958553,,1,-0.004033010139585531,-0.004033010139585531,1,-0.004034577428299681,0.00273457742829968
SOLUSDT,18186,long,-0.0031262215444266654,,1,-0.0026262215444266654,0.0023619544710826645,1,-0.00262708508697015,0.0023633361391522402
SOLUSDT,18211,short,-0.0033573614514436816,,1,-0.0028573614514436816,0.0027317783223098904,1,0.00273021321570204,0.00273021321570204
SOLUSDT,18251,long,-0.003065004942983401,,1,-0.002565004942983401,-0.002565004942983401,1,-0.002565837861914358,-0.002565837861914358
SOLUSDT,18271,short,-0.0036410739045053455,,1,-0.0031410739045053455,-0.0031410739045053455,1,-0.0031399539275415752,-0.0031399539275415752
SOLUSDT,18316,long,-0.003370212724453093,,1,-0.002870212724453093,-0.002870212724453093,1,-0.0028711983236149002,-0.0028711983236149002
SOLUSDT,18331,short,-0.002868479264483442,,1,-0.002368479264483442,0.0004810875586900651,1,-0.0023677453917875482,0.0010677453917875479
SOLUSDT,18392,short,0.0010408202424046845,,1,0.0015408202424046845,0.0015408202424046845,0,,
SOLUSDT,18412,long,-0.003327706774693277,,1,-0.002827706774693277,0.0026843308395092433,1,-0.002828671110248401,0.0026858737763974416
SOLUSDT,18458,short,-0.004294664437040875,,1,-0.0037946644370408754,0.004231463099265401,1,-0.0037932178281268126,0.004229148525002901
SOLUSDT,18484,long,0.0016333346610768978,,1,0.002133334661076898,0.002133334661076898,1,0.0021346019620579262,0.0021346019620579262
SOLUSDT,18518,short,0.001432315078701409,,1,0.001932315078701409,0.001932315078701409,1,0.0019311495039494343,0.0019311495039494343
SOLUSDT,18544,long,0.001133736092834083,,1,0.001633736092834083,0.001633736092834083,1,-0.0021717209184805423,0.0016347534695688678
SOLUSDT,18580,short,-0.0034287557826000866,,1,-0.0029287557826000866,0.0028460092521601383,1,-0.0029277419116442646,0.002844387058630823
SOLUSDT,18629,long,0.0007198029526939954,,1,0.0012198029526939952,0.0012198029526939952,0,,
SOLUSDT,18651,short,-0.002304750877061747,,1,-0.001804750877061747,-0.001804750877061747,1,-0.0018042987276978982,-0.0018042987276978982
SOLUSDT,18714,short,-0.0034708261889951136,,1,-0.0029708261889951136,-0.0029708261889951136,1,-0.0029697912933484396,-0.0029697912933484396
SOLUSDT,18749,long,0.0018460113922835419,,1,0.002346011392283542,0.002346011392283542,1,0.002347385084825955,0.002347385084825955
SOLUSDT,18775,short,0.001094220829433092,,1,0.001594220829433092,0.001594220829433092,1,0.00159322421732443,0.00159322421732443
SOLUSDT,18832,long,0.0035423378037488496,,1,0.0040423378037488505,0.0040423378037488505,0,,
SOLUSDT,18891,short,-0.0029214009427291554,,1,-0.0024214009427291554,0.0020342415083666483,1,-0.0024206406224179466,0.0020330249958687143
SOLUSDT,18920,long,0.0013329399452842333,,1,0.0018329399452842333,0.0018329399452842333,1,-0.002296285608606949,0.0018340569737711186
SOLUSDT,18959,short,-0.002904395895803988,,1,-0.002404395895803988,0.0020070334332863804,1,0.0020058305180273668,0.0020058305180273668
SOLUSDT,18981,long,0.0010292754162836448,,1,0.0015292754162836448,0.0015292754162836448,1,0.0015302405365519203,0.0015302405365519203
SOLUSDT,19020,short,-0.0031349499857310707,,1,-0.0026349499857310707,-0.0026349499857310707,1,-0.0026340829442589413,0.0013340829442589411
SOLUSDT,19041,long,-0.002813198514973632,,1,-0.002313198514973632,0.001861117623957811,1,0.0018622487483319766,0.0018622487483319766
SOLUSDT,19106,long,0.0005582408881696355,,1,0.0010582408881696353,0.0010582408881696353,1,0.001058970373356313,0.001058970373356313
SOLUSDT,19120,short,-0.0023845106560936003,,1,-0.0018845106560936003,0.0011752170497497604,1,-0.0018840186467702154,0.0011744298348323446
SOLUSDT,19186,long,-0.0022709198899706225,,1,-0.0017709198899706225,-0.0017709198899706225,1,-0.0017713555677544993,-0.0017713555677544993
SOLUSDT,19191,short,-0.002935114368582629,,1,-0.002435114368582629,-0.002435114368582629,1,-0.002434347194985137,-0.002434347194985137
SOLUSDT,19255,short,-0.00434866071428572,,1,-0.0038486607142857203,-0.0038486607142857203,1,-0.003847187120725358,-0.003847187120725358
SOLUSDT,19277,long,0.002288735893984893,,1,0.002788735893984893,0.002788735893984893,0,,
SOLUSDT,19334,short,-0.0023692827748383635,,1,-0.0018692827748383635,-0.0018692827748383635,1,-0.0018687983756505385,0.0005687983756505384
SOLUSDT,19342,long,-0.002362198506245488,,1,-0.001862198506245488,-0.001862198506245488,1,-0.0018626798461685722,-0.0018626798461685722
SOLUSDT,19397,short,0.0006357146543094008,,1,0.0011357146543094006,0.0011357146543094006,1,0.0011349471807190412,0.0011349471807190412
SOLUSDT,19457,long,-0.0026282505009871757,,1,-0.0021282505009871757,-0.0021282505009871757,1,-0.0021288649334539026,0.0003373189600723416
SOLUSDT,19465,short,-0.00277111381655133,,1,-0.00227111381655133,-0.00227111381655133,1,-0.002270428602250205,-0.002270428602250205
SOLUSDT,19519,long,0.000682180151178908,,1,0.0011821801511789078,0.0011821801511789078,1,-0.0018893572731233793,0.0001936143638740275
SOLUSDT,19580,long,-0.0024176410683837087,,1,-0.0019176410683837087,-0.0019176410683837087,1,-0.0019181501434554367,0.00021089008607326192
SOLUSDT,19728,short,0.0007741649141176801,,1,0.00127416491411768,0.00127416491411768,1,0.0012733282499926841,0.0012733282499926841
SOLUSDT,19751,long,-0.0025356621545386485,,1,-0.0020356621545386485,0.0014170594472618376,1,0.0014179684314775762,0.0014179684314775762
SOLUSDT,19800,short,0.0005342282037381675,,1,0.0010342282037381673,0.0010342282037381673,1,0.0010335114480141605,0.0010335114480141605
SOLUSDT,19920,long,0.00045935430670432267,,1,0.0009593543067043226,0.0009593543067043226,1,-0.0017500214524164095,-0.0017500214524164095
SOLUSDT,19966,short,-0.002310388014158954,,1,-0.001810388014158954,0.001056620822654326,1,0.001055892876216218,0.001055892876216218
SOLUSDT,20035,short,-0.002282890227067156,,1,-0.001782890227067156,0.0001297341362402935,1,-0.001782449002565873,-0.001782449002565873
SOLUSDT,20046,long,0.000654141562024914,,1,0.0011541415620249138,0.0011541415620249138,0,,
SOLUSDT,20097,short,-0.0023167005234726876,,1,-0.0018167005234726876,0.0010667208375563003,1,-0.001816242402271552,0.001065987843634483
SOLUSDT,20109,long,-0.0022442850986611846,,1,-0.0017442850986611846,-0.0017442850986611846,1,-0.0017447074523873783,-0.0017447074523873783
SOLUSDT,20158,short,0.000989293315739266,,1,0.0014892933157392657,0.0014892933157392657,1,0.0014883491411686815,0.0014883491411686815
SOLUSDT,20172,long,0.0010158692448624827,,1,0.0015158692448624825,0.0015158692448624825,1,-0.002098017286682393,-0.002098017286682393
SOLUSDT,20219,short,0.001832641395552502,,1,0.002332641395552502,0.002332641395552502,1,0.0023312757576736654,0.0023312757576736654
SOLUSDT,20245,long,-0.003553331408733237,,1,-0.003053331408733237,0.0017533314087332368,1,0.0030470537808636104,0.0030470537808636104
SOLUSDT,20294,short,-0.00281264757785162,,1,-0.00231264757785162,0.0018602361245625915,1,0.0018591065712769534,0.0018591065712769534
SOLUSDT,20348,long,0.0013742830836742824,,1,0.0018742830836742824,0.0018742830836742824,0,,
SOLUSDT,20386,short,0.0008050278064894515,,1,0.0013050278064894514,0.0013050278064894514,1,-0.0019651098241438352,0.0013041757186301364
SOLUSDT,20422,long,-0.002642307308224876,,1,-0.002142307308224876,-0.002142307308224876,1,-0.0021429287726111817,-0.0021429287726111817
SOLUSDT,20482,long,0.0015354251158374338,,1,0.002035425115837434,0.002035425115837434,0,,
SOLUSDT,20505,short,0.0007214168530067034,,1,0.0012214168530067032,0.0012214168530067032,1,-0.0019128790935823985,0.0012206065497318373
SOLUSDT,20570,short,0.000504759687653815,,1,0.0010047596876538148,0.0010047596876538148,0,,
SOLUSDT,20734,short,-0.002413892894843561,,1,-0.0019138928948435612,-0.0019138928948435612,1,-0.0019133862017426898,-0.0019133862017426898
SOLUSDT,20742,long,0.0010725325138721139,,1,0.0015725325138721139,0.0015725325138721139,1,0.0015735192735088681,0.0015735192735088681
SOLUSDT,20803,short,-0.002948007603744456,,1,-0.0024480076037444558,0.0005288045622466735,1,-0.0024472339867510806,0.0011472339867510803
SOLUSDT,20810,long,-0.0034274640883820394,,1,-0.0029274640883820394,-0.0029274640883820394,1,-0.002928478327545812,-0.002928478327545812
SOLUSDT,20872,long,-0.0036053442373793114,,1,-0.0031053442373793114,-0.0031053442373793114,1,-0.003106447461109866,-0.003106447461109866
SOLUSDT,20878,short,-0.0032928073321378676,,1,-0.0027928073321378676,0.0007356843992827205,1,-0.0027918614014371492,0.0014918614014371489
SOLUSDT,20939,short,-0.0027433706468191084,,1,-0.0022433706468191084,0.0009433706468191084,1,-0.0022426992971705233,0.0009426992971705231
SOLUSDT,20948,long,0.0011559754620348744,,1,0.0016559754620348744,0.0016559754620348744,0,,
SOLUSDT,21005,short,0.0010195478648549017,,1,0.0015195478648549017,0.0015195478648549017,0,,
SOLUSDT,21038,long,-0.0026252153120172638,,1,-0.0021252153120172638,-0.0021252153120172638,1,-0.0021258282261303286,0.00033549693567819716
SOLUSDT,21086,short,-0.002490948582260513,,1,-0.001990948582260513,-0.001990948582260513,1,-0.001990403380570228,0.0013446454089123645
SOLUSDT,21155,short,-0.0028262226888259353,,1,-0.0023262226888259353,0.0010262226888259351,1,-0.002325509933859006,-0.002325509933859006
SOLUSDT,21176,long,-0.0026660481493936726,,1,-0.0021660481493936726,-0.0021660481493936726,1,-0.002166681490138742,-0.002166681490138742
SOLUSDT,21237,short,0.0015433606351835795,,1,0.0020433606351835795,0.0020433606351835795,0,,
SOLUSDT,21273,long,-0.002256496604350776,,1,-0.0017564966043507762,0.00045649660435077616,1,-0.0017569250668842181,0.000971080107014749
SOLUSDT,21339,long,0.0007825730892272329,,1,0.0012825730892272328,0.0012825730892272328,0,,
SOLUSDT,21400,long,-0.0046046110298240085,,1,-0.004104611029824008,0.004727377647718414,1,-0.004106214136892454,0.004729942619027928
SOLUSDT,21412,short,-0.0034744131513273465,,1,-0.0029744131513273465,-0.0029744131513273465,1,-0.0029733764630957985,-0.0029733764630957985
SOLUSDT,21476,long,-0.002779150726334551,,1,-0.002279150726334551,-0.002279150726334551,1,-0.00227984064665788,-0.00227984064665788
SOLUSDT,21482,short,0.0018143158004140887,,1,0.0023143158004140887,0.0023143158004140887,1,0.002312959320753712,0.002312959320753712
SOLUSDT,21536,long,0.0014458675450430766,,1,0.0019458675450430766,0.0019458675450430766,1,0.0019470410655758642,0.0019470410655758642
SOLUSDT,21557,short,-0.0032449550141792813,,1,-0.0027449550141792813,0.00255192802268685,1,-0.0027440329976804413,0.002550452796288706
SOLUSDT,21597,long,-0.0027338905483543906,,1,-0.0022338905483543906,0.0017342248773670244,1,-0.0022345578272680243,0.001735292523628839
SOLUSDT,21623,short,-0.0029532723001602836,,1,-0.0024532723001602836,-0.0024532723001602836,1,-0.002452496052134217,-0.002452496052134217
SOLUSDT,21663,long,0.0013694616590858321,,1,0.0018694616590858321,0.0018694616590858321,1,-0.002319123098477884,-0.002319123098477884
SOLUSDT,21725,long,0.0037112748262534286,,1,0.0042112748262534295,0.0042112748262534295,1,0.00421358161706196,0.00421358161706196
SOLUSDT,21763,short,-0.0036255292245540574,,1,-0.0031255292245540574,-0.0031255292245540574,1,-0.0031244170160460347,0.0009346502096276207
SOLUSDT,21791,long,-0.004092627450144425,,1,-0.003592627450144425,0.0022926274501444245,1,-0.0035939744373631064,-0.0035939744373631064
SOLUSDT,21834,short,-0.003258686421441127,,1,-0.002758686421441127,-0.002758686421441127,1,-0.002757757542669792,0.0007146545256018751
SOLUSDT,21851,long,0.003448360834599621,,1,0.003948360834599622,0.003948360834599622,1,0.003950536102650947,0.003950536102650947
SOLUSDT,21912,long,-0.0030932806593064223,,1,-0.0025932806593064223,-0.0025932806593064223,1,-0.002594127723168006,-0.002594127723168006
SOLUSDT,21916,short,0.0027428373620286954,,1,0.0032428373620286954,0.0032428373620286954,0,,
SOLUSDT,21976,short,-0.0037949646451255494,,1,-0.0032949646451255494,-0.0032949646451255494,1,-0.003293767761244927,-0.003293767761244927
SOLUSDT,21985,long,-0.002900963007239152,,1,-0.002400963007239152,0.002001540811582643,1,-0.0024017138641712374,0.0020027421826739797
SOLUSDT,22046,long,0.0013609954675171633,,1,0.0018609954675171633,0.0018609954675171633,1,0.0018621265307825542,0.0018621265307825542
SOLUSDT,22067,short,-0.0038595947143958685,,1,-0.0033595947143958685,0.0010757568286375208,1,-0.0033583655316300537,0.0020583655316300533
SOLUSDT,22113,long,-0.00256569961623597,,1,-0.00206569961623597,-0.00206569961623597,1,-0.0020662827576147774,0.0002997696545688663
SOLUSDT,22132,short,-0.003094098365392055,,1,-0.002594098365392055,0.002310557384627288,1,-0.002593251739522294,0.00230920278323567
SOLUSDT,22215,short,-0.0036279115585830983,,1,-0.0031279115585830983,0.003164658493732957,1,-0.003126798159503347,0.0031628770552053547
SOLUSDT,22267,long,0.0010476242747373518,,1,0.0015476242747373518,0.0015476242747373518,0,,
SOLUSDT,22287,short,0.0008187391909864956,,1,0.0013187391909864953,0.0013187391909864953,0,,
SOLUSDT,22329,long,-0.0028517339249013113,,1,-0.0023517339249013113,-0.0023517339249013113,1,-0.0023524601549788004,-0.0023524601549788004
SOLUSDT,22353,short,-0.0030512480454348134,,1,-0.0025512480454348133,0.002241996872695701,1,0.002240676534428487,0.002240676534428487
SOLUSDT,22391,long,0.0016118313738505137,,1,0.0021118313738505137,0.0021118313738505137,1,0.0021130879178094188,0.0021130879178094188
SOLUSDT,22413,short,0.002323178195030755,,1,0.002823178195030755,0.002823178195030755,1,0.002821567411325093,0.002821567411325093
SOLUSDT,22475,short,0.0016766553629589255,,1,0.0021766553629589255,0.0021766553629589255,1,0.002175367679119366,0.002175367679119366
SOLUSDT,22508,long,-0.003196773147548892,,1,-0.002696773147548892,0.000678063888529335,1,-0.002697671983540662,0.0006786031901243972
SOLUSDT,22542,short,-0.0025788350273232633,,1,-0.0020788350273232632,-0.0020788350273232632,1,-0.002078245904371078,0.0014851934469937243
SOLUSDT,22568,long,-0.0034715324810964047,,1,-0.0029715324810964047,-0.0029715324810964047,1,-0.0029725687654791446,-0.0029725687654791446
SOLUSDT,22607,short,-0.0023906039873149076,,1,-0.0018906039873149076,0.0005906039873149074,1,-0.0018901089328484835,0.0005901089328484834
SOLUSDT,22639,long,-0.0024533810866092394,,1,-0.0019533810866092394,0.001285409738574783,1,0.0012862528650072864,0.0012862528650072864
SOLUSDT,22694,short,-0.002239160839160852,,1,-0.001739160839160852,0.0004391608391608521,1,-0.0017387414684266389,0.0009419863494826221
SOLUSDT,22755,short,0.00040168156169671397,,1,0.0009016815616967139,0.0009016815616967139,0,,
SOLUSDT,22941,long,0.0004825364246732447,,1,0.0009825364246732445,0.0009825364246732445,1,0.0009832280386925909,0.0009832280386925909
SOLUSDT,22995,short,-0.0023321539958783347,,1,-0.0018321539958783347,0.0010914463934053355,1,0.0010907010428838938,0.0010907010428838938
SOLUSDT,23057,short,0.0014968104235662696,,1,0.0019968104235662696,0.0019968104235662696,1,0.0019956126172576407,0.0019956126172576407
SOLUSDT,23092,long,-0.0024410482109494553,,1,-0.0019410482109494553,-0.0019410482109494553,1,-0.001941568995447179,0.001266510392715486
SOLUSDT,23124,short,-0.003395238140667023,,1,-0.002895238140667023,0.0015952381406670224,1,-0.0028942410201569443,0.001594241020156944
SOLUSDT,23185,long,-0.0057226559173973275,,1,-0.005222655917397327,0.006516249467835725,1,-0.005224818326560607,0.006519709322496972
SOLUSDT,23213,short,0.002652957414849964,,1,0.003152957414849964,0.003152957414849964,1,-0.003119488639961247,-0.003119488639961247
SOLUSDT,23273,short,0.004562684659921247,,1,0.0050626846599212474,0.0050626846599212474,1,0.005059954682579958,0.005059954682579958
SOLUSDT,23299,long,-0.006289113383590488,,1,-0.005789113383590488,0.004489113383590489,1,-0.005791559163172073,0.004491559163172074
SOLUSDT,23334,short,-0.003540888587967158,,1,-0.003040888587967158,0.0030254217407474525,1,0.0030237098858045502,0.0030237098858045502
SOLUSDT,23374,long,-0.002859171800789657,,1,-0.002359171800789657,0.0010591718007896568,1,-0.0023599017516654896,0.0004759410509992938
SOLUSDT,23394,short,0.0011089499541554575,,1,0.0016089499541554575,0.0016089499541554575,0,,
SOLUSDT,23448,long,-0.0033644189597577773,,1,-0.0028644189597577772,0.0027430703356124434,1,0.002744642656940913,0.002744642656940913
SOLUSDT,23496,short,-0.0024924694923921125,,1,-0.0019924694923921125,-0.0019924694923921125,1,-0.001991923530626799,0.0013470776490028785
SOLUSDT,23520,long,-0.0029439685792726983,,1,-0.0024439685792726983,0.0020703497268363172,1,0.002071585519596115,0.002071585519596115
SOLUSDT,23597,long,-0.0024016179983049565,,1,-0.0019016179983049565,0.0006016179983049563,1,-0.0019021190578338734,0.0023175344934197786
SOLUSDT,23631,short,-0.002282627162540147,,1,-0.0017826271625401469,-0.0017826271625401469,1,-0.0017821860695053943,-0.0017821860695053943
SOLUSDT,24636,long,0.002118941820095536,,1,0.002618941820095536,0.002618941820095536,1,-0.002787782528824122,0.0014877825288241216
SOLUSDT,24659,short,0.0011377645004986758,,1,0.0016377645004986758,0.0016377645004986758,1,0.0016367461274349585,0.0016367461274349585
SOLUSDT,24709,long,0.0005700141860177114,,1,0.0010700141860177112,0.0010700141860177112,0,,
SOLUSDT,24726,short,0.0008131762287280649,,1,0.0013131762287280648,0.0013131762287280648,1,0.001312320068693718,0.001312320068693718
SOLUSDT,24832,long,-0.002201343203846439,,1,-0.001701343203846439,0.0008821491261543024,1,0.0008827905214150099,0.0008827905214150099
SOLUSDT,25206,long,-0.0023213967290416308,,1,-0.0018213967290416307,-0.0018213967290416307,1,-0.0018218576578705658,0.00015311459472233948
SOLUSDT,25916,long,-0.0026441292650306292,,1,-0.002144129265030629,0.0008441292650306292,1,-0.002144751640851055,0.0008447516408510548
SOLUSDT,25930,short,-0.0023984318109057027,,1,-0.0018984318109057027,0.0005984318109057028,1,-0.0018979328444834612,0.00019875970669007661
SOLUSDT,25977,long,0.0011475201596591175,,1,0.0016475201596591175,0.0016475201596591175,1,0.0016485444318750549,0.0016485444318750549
SOLUSDT,26033,short,-0.0028156761605740975,,1,-0.0023156761605740974,0.0018650818569185554,1,0.001863949881977567,0.001863949881977567
SOLUSDT,26040,long,-0.0026086413856953503,,1,-0.0021086413856953503,-0.0021086413856953503,1,-0.0021092460086997,-0.0021092460086997
SOLUSDT,26093,short,-0.0023528902326740812,,1,-0.0018528902326740812,0.0011246243722785301,1,0.0011238624410580013,0.0011238624410580013
SOLUSDT,26119,long,-0.00247588908415278,,1,-0.00197588908415278,0.000245533450491668,1,-0.0019764272978016807,0.00024585637868100845
SOLUSDT,26177,short,-0.002564144353899896,,1,-0.002064144353899896,-0.002064144353899896,1,-0.002063562572613589,0.00029813754356815346
SOLUSDT,26183,long,-0.002491846298031884,,1,-0.001991846298031884,0.0013469540768510145,1,-0.001992392494279024,0.001347827990846438
SOLUSDT,26237,short,-0.003523905989320408,,1,-0.003023905989320408,-0.003023905989320408,1,-0.00302284456703689,-0.00302284456703689
SOLUSDT,26253,long,-0.002302496682987921,,1,-0.0018024966829879208,0.0001414980097927524,1,-0.001802948157066454,0.001044717051306326
SOLUSDT,26381,short,-0.0023826982879542624,,1,-0.0018826982879542624,-0.0018826982879542624,1,-0.001882207184362081,-0.001882207184362081
